"","GEOID","NAME","variable","estimate","moe","geoid_int","sf_tag","area","intersection_area","coverage","pre_screened","dac","Utility"
"1","12456","ZCTA5 12456","S1901_C01_012",58611,14386,12456,FALSE,1454083.06057194,1454083.06057251,1.00000000000039,FALSE,TRUE,"CHGE"
"2","12585","ZCTA5 12585","S1901_C01_012",82557,43621,12585,FALSE,12944166.6349157,12944166.6348706,0.999999999996512,FALSE,FALSE,"CHGE"
"3","12490","ZCTA5 12490","S1901_C01_012",NA,NA,12490,FALSE,1370539.58780587,1370539.58780826,1.00000000000174,FALSE,TRUE,"CHGE"
"4","12414","ZCTA5 12414","S1901_C01_012",39625,6194,12414,FALSE,155863884.031237,155863860.676285,0.999999850158029,FALSE,TRUE,"CHGE"
"5","12416","ZCTA5 12416","S1901_C01_012",25800,12333,12416,FALSE,13158604.3572097,1409192.39409538,0.107092846311111,FALSE,FALSE,"CHGE"
"6","12448","ZCTA5 12448","S1901_C01_012",123807,60937,12448,FALSE,30764456.0117572,30764456.0117617,1.00000000000014,FALSE,FALSE,"CHGE"
"7","12574","ZCTA5 12574","S1901_C01_012",NA,NA,12574,FALSE,1311605.0406866,1311605.04068607,0.999999999999602,FALSE,FALSE,"CHGE"
"8","12466","ZCTA5 12466","S1901_C01_012",72031,7087,12466,FALSE,2670389.17093805,2670389.17093782,0.999999999999913,FALSE,TRUE,"CHGE"
"9","12547","ZCTA5 12547","S1901_C01_012",93813,9882,12547,FALSE,27223204.7547786,27223204.7547734,0.999999999999812,FALSE,TRUE,"CHGE"
"10","12007","ZCTA5 12007","S1901_C01_012",NA,NA,12007,FALSE,3134771.984925,3134771.98492477,0.999999999999927,FALSE,FALSE,"CHGE"
"11","12401","ZCTA5 12401","S1901_C01_012",52784,3308,12401,FALSE,154451299.87776,154451299.877766,1.00000000000004,FALSE,TRUE,"CHGE"
"12","12512","ZCTA5 12512","S1901_C01_012",NA,NA,12512,FALSE,1159636.85198926,1159636.8519889,0.999999999999689,FALSE,TRUE,"CHGE"
"13","12546","ZCTA5 12546","S1901_C01_012",58500,14715,12546,FALSE,119259916.430503,118836761.556213,0.996451826506715,FALSE,TRUE,"CHGE"
"14","12432","ZCTA5 12432","S1901_C01_012",52813,43303,12432,FALSE,1536592.67207081,1536592.6720747,1.00000000000253,FALSE,TRUE,"CHGE"
"15","12420","ZCTA5 12420","S1901_C01_012",110583,18095,12420,FALSE,10922217.2582694,10888990.6040411,0.996957883784706,FALSE,TRUE,"CHGE"
"16","12515","ZCTA5 12515","S1901_C01_012",NA,NA,12515,FALSE,13016950.5326873,13016950.5327371,1.00000000000383,FALSE,TRUE,"CHGE"
"17","12504","ZCTA5 12504","S1901_C01_012",151667,92364,12504,FALSE,5856590.90192749,5856590.90193558,1.00000000000138,FALSE,TRUE,"CHGE"
"18","12604","ZCTA5 12604","S1901_C01_012",NA,NA,12604,FALSE,267927.248344077,267927.248310869,0.999999999876055,FALSE,TRUE,"CHGE"
"19","12435","ZCTA5 12435","S1901_C01_012",42778,30956,12435,FALSE,25901420.7415321,25897190.6455146,0.999836684788075,FALSE,TRUE,"CHGE"
"20","12508","ZCTA5 12508","S1901_C01_012",76599,10835,12508,FALSE,37852497.1929941,37852497.1928837,0.999999999997082,FALSE,TRUE,"CHGE"
"21","12015","ZCTA5 12015","S1901_C01_012",61607,8427,12015,FALSE,35989097.17958,35989097.1795702,0.999999999999729,FALSE,TRUE,"CHGE"
"22","12527","ZCTA5 12527","S1901_C01_012",NA,NA,12527,FALSE,398618.843686826,398618.843686585,0.999999999999394,FALSE,TRUE,"CHGE"
"23","12485","ZCTA5 12485","S1901_C01_012",52216,11659,12485,FALSE,21946154.939368,21877756.3244077,0.996883344023167,FALSE,FALSE,"CHGE"
"24","10953","ZCTA5 10953","S1901_C01_012",NA,NA,10953,TRUE,2836650.97920672,2836650.97919252,0.999999999994994,FALSE,FALSE,"CHGE"
"25","12518","ZCTA5 12518","S1901_C01_012",77861,6149,12518,FALSE,25997700.8438507,25837862.317135,0.993851820679231,FALSE,TRUE,"CHGE"
"26","12436","ZCTA5 12436","S1901_C01_012",NA,NA,12436,FALSE,40048236.4138726,39977257.1975095,0.998227656877831,FALSE,FALSE,"CHGE"
