geoid,Utility
87565,NA
88354,NA
88310,El Paso Electric
88321,NA
88119,NA
87823,NA
87749,NA
87508,Public Service Company
88120,NA
87714,NA
87315,NA
87420,NA
88431,NA
88341,NA
87455,NA
88426,NA
87024,NA
87569,NA
87041,Public Service Company
88005,El Paso Electric
87747,NA
88339,Xcel
87511,NA
88434,NA
87577,NA
87752,NA
88203,Xcel
87310,NA
88020,NA
88351,NA
88415,NA
87701,NA
87733,NA
88419,NA
88250,Xcel
88416,NA
87037,NA
88240,Xcel
87573,NA
87020,NA
87025,NA
87002,NA
87011,NA
87012,NA
87013,NA
87832,NA
87533,NA
88311,Public Service Company
87827,NA
88301,NA
87047,NA
87056,NA
88049,NA
88350,NA
87325,NA
87829,NA
87581,NA
87364,NA
87375,NA
87326,NA
87328,NA
88115,NA
87410,NA
87413,NA
87416,NA
88201,Xcel
87461,NA
87499,NA
87501,NA
88220,Xcel
88230,Xcel
87506,NA
87510,NA
87512,NA
87515,NA
87520,NA
87521,NA
88256,Xcel
88260,Xcel
88268,Xcel
87530,NA
87538,NA
87539,NA
88316,NA
88317,NA
88318,NA
88325,NA
88336,NA
88338,NA
87554,NA
87560,NA
87567,NA
87575,NA
88344,Xcel
88410,NA
87710,NA
87711,NA
87718,NA
88421,NA
88422,NA
88424,NA
87732,NA
87740,NA
87742,NA
87745,NA
87753,NA
87820,NA
87825,NA
87942,NA
87943,NA
88007,El Paso Electric
87031,NA
87034,NA
87036,NA
88021,El Paso Electric
88028,Public Service Company
87045,NA
87053,NA
87070,NA
87313,NA
88038,Public Service Company
88040,NA
88041,Public Service Company
87319,NA
88045,NA
88055,Public Service Company
87323,NA
88210,Xcel
88232,Xcel
87528,NA
87532,NA
88312,Public Service Company
87571,NA
88343,NA
87743,NA
87746,NA
87821,NA
87321,NA
88061,Public Service Company
87121,NA
88063,El Paso Electric
88116,Xcel
88025,Public Service Company
87801,NA
87017,NA
87026,NA
87301,NA
87901,NA
87519,NA
87531,NA
87144,NA
87505,Public Service Company
87008,NA
87418,NA
88024,El Paso Electric
87558,NA
87417,NA
87940,El Paso Electric
87535,NA
87312,NA
88130,NA
88118,NA
88414,NA
87357,NA
87072,NA
87052,Public Service Company
88262,Xcel
87548,NA
87564,NA
88008,El Paso Electric
88134,NA
88022,Public Service Company
88342,NA
88047,El Paso Electric
88001,El Paso Electric
87513,NA
88034,Public Service Company
87724,NA
88436,NA
88348,NA
87715,NA
87046,NA
88355,Public Service Company
87582,NA
88124,NA
87117,Public Service Company
87712,NA
87032,NA
87507,NA
87106,Public Service Company
87048,Public Service Company
88026,Public Service Company
87730,NA
87525,NA
88132,NA
87831,NA
87061,NA
87044,NA
88046,El Paso Electric
88126,NA
87006,NA
87579,NA
88056,NA
88265,Xcel
88003,El Paso Electric
88042,NA
87038,NA
88113,NA
87723,NA
87040,NA
87401,NA
87064,NA
87305,NA
87412,NA
88101,NA
88253,Xcel
87018,NA
87021,NA
87023,Public Service Company
87001,NA
87007,NA
87010,NA
87014,NA
87004,Public Service Company
88044,El Paso Electric
87419,NA
88346,NA
87516,NA
87110,Public Service Company
87931,NA
87557,NA
87936,NA
87027,NA
87043,NA
87583,NA
88330,El Paso Electric
87317,NA
88112,NA
87108,Public Service Company
87933,NA
87116,Public Service Company
87005,NA
88048,El Paso Electric
87320,NA
88103,NA
87122,Public Service Company
88114,Xcel
87415,NA
87402,NA
88135,NA
88136,NA
88125,NA
88121,NA
88267,Xcel
87514,NA
87517,NA
87523,NA
87527,NA
88242,Xcel
88254,Xcel
88252,Xcel
88353,NA
87713,NA
88417,NA
88427,NA
87580,NA
87562,NA
87544,NA
87549,NA
87566,NA
88345,Public Service Company
88314,NA
88352,NA
87574,Public Service Company
87551,NA
88324,NA
87552,NA
87553,NA
88347,NA
88337,NA
87529,NA
88340,NA
87540,Public Service Company
87930,NA
87937,NA
87939,NA
88002,El Paso Electric
88004,El Paso Electric
87731,NA
87750,NA
87722,NA
87734,NA
87735,NA
87736,NA
87830,NA
87824,NA
87828,NA
87728,NA
87059,NA
88043,Public Service Company
87062,NA
87063,NA
87107,Public Service Company
87068,NA
87083,NA
87102,Public Service Company
87104,Public Service Company
87049,NA
87105,Public Service Company
88030,Public Service Company
88029,NA
87042,Public Service Company
87029,NA
87035,NA
88009,NA
88023,Public Service Company
88011,El Paso Electric
87421,NA
88411,NA
87524,NA
88051,NA
88052,El Paso Electric
87112,Public Service Company
88053,Public Service Company
87113,Public Service Company
88065,Public Service Company
88072,El Paso Electric
87120,NA
87111,Public Service Company
87322,NA
87347,NA
88231,Xcel
87935,NA
87941,NA
88033,El Paso Electric
87028,NA
87109,Public Service Company
88027,El Paso Electric
88081,El Paso Electric
87051,NA
87114,Public Service Company
87543,NA
87316,NA
88255,Xcel
87124,Public Service Company
88012,El Paso Electric
88264,Xcel
87729,NA
87015,NA
87022,Public Service Company
88430,NA
87123,Public Service Company
87518,NA
87578,NA
87311,NA
88039,NA
87522,NA
88323,NA
88401,NA
87016,NA
88032,El Paso Electric
88418,NA
88263,Xcel
87537,NA
87556,NA
87327,NA
88435,NA
88349,NA
