geoid,dac_design,redc,county,city_town,nyc_region,urban_rura,tribal_des,household_,population,househol_2,percentile,percenti_2,percenti_3,combined_s,burden_sco,vulnerabil,burden_s_2,vulnerab_2,benzene_co,particulat,traffic_tr,traffic_nu,wastewater,housing_va,industrial,landfills,oil_storag,municipal_,power_gene,rmp_sites,remediatio,scrap_meta,agricultur,coastal_fl,days_above,drive_time,inland_flo,low_vegeta,asian_perc,black_afri,redlining_,latino_per,english_pr,native_ind,lmi_80_ami,lmi_povert,populati_2,househol_3,unemployme,asthma_ed_,copd_ed_ra,households,low_birth_,mi_hospita,health_ins,age_over_6,premature_,internet_a,home_energ,homes_buil,mobile_hom,rent_perce,renter_per,ZIP,Utility
36071013800,Designated as DAC,Mid-Hudson,Orange,Fort Montgomery,Rest of State,rural,No,No,3168,1263,0.595313,0,0.767139,85.2300735328773,0.869934,0.405943,41.557374343522,43.6726991893553,0.202053388090349,0.384869099154813,0.521144024514811,0.30874030601551,0.657960644007156,0.75717017208413,0,0,0,0,0,29.1194060631058,0.873145400593472,0,0.282894736842105,0.102230483271375,0.807817589576547,0.84996938150643,0.899153737658674,0.159455304195036,0.728768341485105,0.569797501077122,NA,0.57233368532207,0.447794117647059,0.721196868008949,22.0803683549602,0.186728072011723,0.273430962343096,0.452125375697724,0.155625657202944,0.410973302501577,0.381332772755939,0.39602510460251,0.161263334030538,0.685118922332141,0.338581024349286,0.67608286252354,0.595122976665966,0.167717528373266,0.584972791963165,0.410251046025105,0.86432825943084,0.243008474576271,0.4392797319933,10922,ORU
36071011602,Designated as DAC,Mid-Hudson,Orange,Sparrow Bush,Rest of State,rural,No,No,3555,1366,0.615191,0,0.782414,86.0284354636239,0.392887,0.689266,30.2766951100223,55.7517403536016,0.120739219712526,0.357864357864358,0.110725229826353,0.104171033326347,0.354203935599284,0.830465264499681,0.471652593486128,0,0,0,0,6.61992163332646,0,0.983870967741936,0.231781376518219,0,0.518118892508143,0.9648907940396,0.440056417489422,0.0656709861629695,0.150066696309471,0.66393795777682,NA,0.168321013727561,0,0.800335570469799,59.6274591879447,0.595143395436466,0.871548117154812,0.117432374409618,0.237013669821241,0.666806811015346,0.927895732604583,0.941422594142259,0.801924283622673,0.949484319090718,0.318219983207389,0.636116342331032,0.630859785579147,0.82177385456074,0.97697781498535,0.243305439330544,0.912640635340834,0.461864406779661,0.224664991624791,12780,ORU
36087010701,Designated as DAC,Mid-Hudson,Rockland,Haverstraw village,Rest of State,suburban,No,No,4376,1343,0.797029,0,0.896796,96.9075864009013,0.595533,0.80791,33.9429900457364,62.9645963551649,0.285831622176591,0.434343434343434,0.687027579162411,0.510375183399707,0.237924865831843,0.0465264499681326,0.924607961399276,0,0,0,0.423507462686567,75.128892555166,0,0,0,0.0362453531598513,0.787866449511401,0.795060216370688,0.116361071932299,0.329013837030529,0.5,0.634424816889272,NA,0.903907074973601,0.852450980392157,0.332494407158837,59.0205106739221,0.468704207661712,0.65418410041841,0.69257191927866,0.755415352260778,0.62055917595123,0.85011561908766,0.954393305439331,0.678309976992261,0.856451273416123,0.628463476070529,0.700983469345051,0.558965734706748,0.772383354350568,0.584972791963165,0.176150627615063,0,0.964406779661017,0.528894472361809,10927,ORU
36087011800,Designated as DAC,Mid-Hudson,Rockland,Hillburn village,Rest of State,rural,No,No,918,287,0.732371,0,0.856557,92.4910272461946,0.86249,0.589454,41.2053823500234,51.2856448961713,0.358316221765914,0.453514739229025,0.994075587334014,0.811150702158877,0.698389982110912,0.659443382196728,0.579613992762364,0,0,0,0.561567164179104,35.2443802845948,0.574183976261128,0,0.166497975708502,0,0.799674267100977,0.856093080220453,0,0.224028113331869,0.690751445086705,0.748384317104696,NA,0.780147835269271,0.531862745098039,0.996085011185682,13.7505232314776,0.681180657316307,0.617364016736402,0.455989695148132,0.161724500525762,0.275804078200547,0.282951439983183,0.479497907949791,0.0732064421669107,0.444117027994107,0.797649034424853,0.458882611424984,0.452175741013244,0.283312316099201,0.825240686479699,0.555230125523013,0,0.773305084745763,0.439070351758794,10931,ORU
36087012202,Designated as DAC,Mid-Hudson,Rockland,Spring Valley village,Rest of State,suburban,No,No,6527,2158,0.725884,0,0.854694,92.1949675318398,0.282672,0.82465,28.0725162624208,64.122451269419,0.4,0.46691403834261,0.410010214504597,0.381052190316496,0,0.312938177182919,0,0,0,0,0,17.1994225613529,0.574183976261128,0,0,0,0.799674267100977,0.707695448050623,0,0.51350757742148,0.458203646064918,0.899181387333046,NA,0.797254487856389,0.842892156862745,0.523210290827741,68.103809125157,0.832949549926732,0.8581589958159,0.880420781451267,0.86540483701367,0.449022493167963,0.0971200336346437,0.334309623430962,0.641706755908806,0.11134498000421,0.909949622166247,0.285624607658506,0.885011561908766,0.881672971836906,0.825240686479699,0.12071129707113,0,0.765042372881356,0.711892797319933,10977,ORU
36087012300,Designated as DAC,Mid-Hudson,Rockland,Spring Valley village,Rest of State,suburban,No,No,6283,1608,0.749111,0,0.866244,93.5952865559938,0.254549,0.853526,27.4254168317451,66.1698697242487,0.43305954825462,0.471861471861472,0.195301327885598,0.44120729406833,0,0.631612492033142,0.494571773220748,0,0,0,0,18.560527943906,0,0,0,0,0.799674267100977,0.67197387221882,0,0.457280913683286,0,0.76734166307626,NA,0.878141499472017,0.897303921568627,0.0181767337807606,90.2260359983257,0.906845300397739,0.965062761506276,0.876341777586947,0.891272344900105,0.562539415598066,0.743325625394156,0.0221757322175732,0.0627483790002092,0.373395074721111,0.995382031905961,0.0190416405105671,0.822577254572209,0.965111391340899,0.825240686479699,0.239330543933054,0.333553937789543,0.920974576271186,0.846524288107203,10977,ORU
36071014102,Designated as DAC,Mid-Hudson,Orange,Harriman village,Rest of State,suburban,No,No,5945,1850,0.77443,0,0.880402,95.1657163380728,0.956162,0.478343,48.4873793835128,46.67833695456,0.197741273100616,0.393320964749536,0.847395301327886,0.40620415007336,0.818962432915921,0.518164435946463,0.679734620024125,0,0,0,0,81.6250773355331,0.787091988130564,0,0.393218623481781,0,0.799674267100977,0.939987752602572,0.851904090267983,0.301779046782341,0.788350377945754,0.678371391641534,NA,0.79831045406547,0.507352941176471,0.0746644295302013,17.0573461699456,0.548252041029935,0.417364016736402,0.745384285100902,0.551840168243954,0.0887113727138953,0.188143788101745,0.410669456066946,0.0148504496967162,0.42769943169859,0.824937027707809,0.0521029504080352,0.854319949548034,0.574611181168558,0.584972791963165,0.0951882845188284,0.661813368630046,0.211016949152542,0.521147403685092,10950,ORU
36087010502,Designated as DAC,Mid-Hudson,Rockland,Mount Ivy,Rest of State,suburban,No,No,7075,2703,0.69638,0,0.837183,90.4637250194327,0.807279,0.5905,39.1079631078468,51.3557619115859,0.293839835728953,0.433312719027005,0.382839632277835,0.588765457975267,0.195706618962433,0.376673040152964,0.838962605548854,0,0,0,0,39.9670035058775,0.574183976261128,0,0.298076923076923,0.0659851301115242,0.786237785016287,0.800775668503776,0.530324400564175,0.345047221612124,0.546242774566474,0.764756570443774,NA,0.844350580781415,0.615686274509804,0,40.5190456257848,0.629893238434164,0.548953974895397,0.440317732932589,0.812618296529968,0.466470464578516,0.184780323733445,0.128870292887029,0.41100188245137,0.178909703220375,0.750419815281276,0.42749529190207203,0.776539836031112,0.35645229087852,0.584972791963165,0.0240585774058577,0.874255459960291,0.48156779661017,0.437395309882747,10923,ORU
36071011801,Designated as DAC,Mid-Hudson,Orange,Multiple municipalities,Rest of State,rural,No,No,4642,1640,0.762712,0,0.873696,94.5022275407871,0.898263,0.594476,42.9931132507733,51.5091142900137,0.234086242299795,0.386105957534529,0.918488253319714,0.267239572416684,0.522003577817531,0.424261737837264,0.124849215922799,0,0.266666666666667,0,0.289179104477612,70.3650237162301,0,0.747311827956989,0.802125506072875,0,0.63314332247557,0.921412533170035,0.395627644569817,0.158137491763672,0.465317919075145,0.624084446359328,NA,0.655543822597677,0.0872549019607843,0.853747203579418,15.2365006278778,0.692484823110739,0.375523012552301,0.841348218119365,0.538801261829653,0.239016186672272,0.310279587975615,0.613598326359833,0.680401589625601,0.560092612081667,0.702141057934509,0.262397991211551,0.629808702964053,0.295081967213115,0.825240686479699,0.189330543933054,0.647253474520185,0.650423728813559,0.404313232830821,10973,ORU
36071011601,Designated as DAC,Mid-Hudson,Orange,Multiple municipalities,Rest of State,rural,No,No,4187,1575,0.850596,0,0.92921,101.338511654689,0.827543,0.783427,39.7753504161008,61.5631612385877,0.15482546201232,0.375386518243661,0.800817160367722,0.175434919304129,0.548121645796064,0.673040152963671,0.688178528347407,0,0,0,0,10.125799133842,0.574183976261128,0,0.551113360323887,0,0.517915309446254,0.890794039599918,0.785613540197461,0.115967493960026,0.557581147176523,0.268203360620422,NA,0.53389651531151,0.20343137254902,0.806767337807606,69.9874424445375,0.576721791919615,0.881589958158996,0.4944182052383,0.781072555205047,0.666806811015346,0.927895732604583,0.937238493723849,0.801924283622673,0.949484319090718,0.7924013434089,0.608286252354049,0.630859785579147,0.655527532576713,0.940351611552951,0.167364016736402,0.917273328921244,0.363559322033898,0.238693467336683,12746,ORU
