GEOID,NAME,variable,estimate,moe,geoid_int,sf_tag,Utility
10976,ZCTA5 10976,S1901_C01_012,63875,40239,10976,TRUE,ORU
10993,ZCTA5 10993,S1901_C01_012,50559,11951,10993,TRUE,ORU
10979,ZCTA5 10979,S1901_C01_012,NA,NA,10979,TRUE,ORU
12722,ZCTA5 12722,S1901_C01_012,NA,NA,12722,TRUE,ORU
10964,ZCTA5 10964,S1901_C01_012,124844,78603,10964,TRUE,ORU
10940,ZCTA5 10940,S1901_C01_012,61367,2913,10940,TRUE,ORU
10965,ZCTA5 10965,S1901_C01_012,110650,11442,10965,TRUE,ORU
10985,ZCTA5 10985,S1901_C01_012,176143,66340,10985,TRUE,ORU
10970,ZCTA5 10970,S1901_C01_012,91174,17815,10970,TRUE,ORU
10980,ZCTA5 10980,S1901_C01_012,105437,5722,10980,TRUE,ORU
10984,ZCTA5 10984,S1901_C01_012,129315,10184,10984,TRUE,ORU
10924,ZCTA5 10924,S1901_C01_012,101801,6027,10924,TRUE,ORU
10973,ZCTA5 10973,S1901_C01_012,95156,21535,10973,FALSE,ORU
10986,ZCTA5 10986,S1901_C01_012,150625,43470,10986,TRUE,ORU
10952,ZCTA5 10952,S1901_C01_012,56594,5797,10952,TRUE,ORU
12771,ZCTA5 12771,S1901_C01_012,51829,5586,12771,TRUE,ORU
10919,ZCTA5 10919,S1901_C01_012,102738,27192,10919,TRUE,ORU
10913,ZCTA5 10913,S1901_C01_012,140375,21177,10913,TRUE,ORU
10922,ZCTA5 10922,S1901_C01_012,86607,24581,10922,TRUE,ORU
10958,ZCTA5 10958,S1901_C01_012,100714,11384,10958,TRUE,ORU
10930,ZCTA5 10930,S1901_C01_012,131111,12122,10930,TRUE,ORU
10917,ZCTA5 10917,S1901_C01_012,109750,23827,10917,TRUE,ORU
10927,ZCTA5 10927,S1901_C01_012,61336,9853,10927,TRUE,ORU
10975,ZCTA5 10975,S1901_C01_012,NA,NA,10975,TRUE,ORU
10996,ZCTA5 10996,S1901_C01_012,103417,6722,10996,FALSE,ORU
10941,ZCTA5 10941,S1901_C01_012,73056,6572,10941,TRUE,ORU
10920,ZCTA5 10920,S1901_C01_012,115745,7140,10920,TRUE,ORU
12781,ZCTA5 12781,S1901_C01_012,81563,29911,12781,TRUE,ORU
10928,ZCTA5 10928,S1901_C01_012,82500,15218,10928,TRUE,ORU
10994,ZCTA5 10994,S1901_C01_012,148342,18043,10994,TRUE,ORU
10968,ZCTA5 10968,S1901_C01_012,115208,26547,10968,TRUE,ORU
10956,ZCTA5 10956,S1901_C01_012,133297,9247,10956,TRUE,ORU
10910,ZCTA5 10910,S1901_C01_012,NA,NA,10910,FALSE,ORU
10932,ZCTA5 10932,S1901_C01_012,NA,NA,10932,TRUE,ORU
10977,ZCTA5 10977,S1901_C01_012,55145,5181,10977,TRUE,ORU
10992,ZCTA5 10992,S1901_C01_012,97000,12504,10992,TRUE,ORU
10998,ZCTA5 10998,S1901_C01_012,90567,11091,10998,TRUE,ORU
10911,ZCTA5 10911,S1901_C01_012,NA,NA,10911,FALSE,ORU
10926,ZCTA5 10926,S1901_C01_012,80625,11524,10926,TRUE,ORU
10988,ZCTA5 10988,S1901_C01_012,80972,12046,10988,TRUE,ORU
10989,ZCTA5 10989,S1901_C01_012,117368,10897,10989,TRUE,ORU
10918,ZCTA5 10918,S1901_C01_012,103597,7144,10918,TRUE,ORU
10954,ZCTA5 10954,S1901_C01_012,105698,6929,10954,TRUE,ORU
10963,ZCTA5 10963,S1901_C01_012,74306,15729,10963,TRUE,ORU
10969,ZCTA5 10969,S1901_C01_012,102688,16123,10969,TRUE,ORU
10974,ZCTA5 10974,S1901_C01_012,95446,10098,10974,TRUE,ORU
10987,ZCTA5 10987,S1901_C01_012,105069,8364,10987,TRUE,ORU
10925,ZCTA5 10925,S1901_C01_012,90709,23971,10925,TRUE,ORU
10931,ZCTA5 10931,S1901_C01_012,70833,4723,10931,TRUE,ORU
10990,ZCTA5 10990,S1901_C01_012,101357,5590,10990,TRUE,ORU
12769,ZCTA5 12769,S1901_C01_012,NA,NA,12769,TRUE,ORU
12770,ZCTA5 12770,S1901_C01_012,NA,NA,12770,TRUE,ORU
12777,ZCTA5 12777,S1901_C01_012,84500,16297,12777,FALSE,ORU
12785,ZCTA5 12785,S1901_C01_012,84728,16719,12785,TRUE,ORU
12746,ZCTA5 12746,S1901_C01_012,81563,24201,12746,TRUE,ORU
12780,ZCTA5 12780,S1901_C01_012,46250,12239,12780,TRUE,ORU
12790,ZCTA5 12790,S1901_C01_012,68611,14764,12790,TRUE,ORU
10921,ZCTA5 10921,S1901_C01_012,89239,9777,10921,TRUE,ORU
10923,ZCTA5 10923,S1901_C01_012,80149,9455,10923,TRUE,ORU
10914,ZCTA5 10914,S1901_C01_012,133047,25164,10914,TRUE,ORU
10950,ZCTA5 10950,S1901_C01_012,76637,4323,10950,TRUE,ORU
10962,ZCTA5 10962,S1901_C01_012,110833,22666,10962,TRUE,ORU
12721,ZCTA5 12721,S1901_C01_012,71953,14056,12721,TRUE,ORU
10960,ZCTA5 10960,S1901_C01_012,84983,5884,10960,TRUE,ORU
10915,ZCTA5 10915,S1901_C01_012,NA,NA,10915,TRUE,ORU
10901,ZCTA5 10901,S1901_C01_012,95744,6247,10901,TRUE,ORU
12729,ZCTA5 12729,S1901_C01_012,46192,13829,12729,TRUE,ORU
12737,ZCTA5 12737,S1901_C01_012,78967,25031,12737,TRUE,ORU
10933,ZCTA5 10933,S1901_C01_012,94808,34252,10933,TRUE,ORU
10983,ZCTA5 10983,S1901_C01_012,110250,10839,10983,TRUE,ORU
