"","GEOID","NAME","variable","estimate","moe","geoid_int","sf_tag","area","intersection_area","coverage","pre_screened","dac","Utility"
"1","12758","ZCTA5 12758","S1901_C01_012",60368,8693,12758,FALSE,397703044.31829,397703043.601813,0.999999998198462,FALSE,TRUE,"ORU"
"2","14212","ZCTA5 14212","S1901_C01_012",24060,3810,14212,FALSE,4918492.27390784,4918492.20952543,0.999999986910133,TRUE,TRUE,"ORU"
"3","14788","ZCTA5 14788","S1901_C01_012",NA,NA,14788,FALSE,555362.779341654,555362.779341616,0.999999999999932,FALSE,FALSE,"ORU"
"4","14035","ZCTA5 14035","S1901_C01_012",NA,NA,14035,FALSE,556986.721826189,556986.721825877,0.999999999999438,FALSE,FALSE,"ORU"
"5","13617","ZCTA5 13617","S1901_C01_012",60016,8463,13617,FALSE,332799741.219141,332799741.219132,0.999999999999971,FALSE,FALSE,"ORU"
"6","13316","ZCTA5 13316","S1901_C01_012",47193,5792,13316,FALSE,420175909.768237,420175909.765065,0.99999999999245,FALSE,FALSE,"ORU"
"7","13102","ZCTA5 13102","S1901_C01_012",NA,NA,13102,FALSE,152475.588881131,152475.588881131,0.999999999999998,FALSE,FALSE,"ORU"
"8","12307","ZCTA5 12307","S1901_C01_012",21719,4515,12307,FALSE,1852353.25647591,1852353.25647591,1,FALSE,TRUE,"ORU"
"9","13343","ZCTA5 13343","S1901_C01_012",59167,6735,13343,FALSE,147737075.126406,147737075.126392,0.999999999999907,FALSE,FALSE,"ORU"
"10","14456","ZCTA5 14456","S1901_C01_012",47522,3224,14456,FALSE,202248720.207283,202248720.207547,1.0000000000013,FALSE,TRUE,"ORU"
"11","13440","ZCTA5 13440","S1901_C01_012",53067,2569,13440,FALSE,295505965.804342,295505965.804427,1.00000000000029,FALSE,TRUE,"ORU"
"12","13856","ZCTA5 13856","S1901_C01_012",50764,6147,13856,FALSE,490702068.799847,490702068.799765,0.999999999999834,FALSE,TRUE,"ORU"
"13","12456","ZCTA5 12456","S1901_C01_012",58611,14386,12456,FALSE,1454083.06057194,1454083.06057251,1.00000000000039,FALSE,TRUE,"ORU"
"14","10535","ZCTA5 10535","S1901_C01_012",NA,NA,10535,FALSE,1407719.13499477,1407719.13499441,0.999999999999739,FALSE,FALSE,"ORU"
"15","14854","ZCTA5 14854","S1901_C01_012",NA,NA,14854,FALSE,57215.9630019323,57215.9630027416,1.00000000001414,FALSE,FALSE,"ORU"
"16","13064","ZCTA5 13064","S1901_C01_012",NA,NA,13064,FALSE,3412430.50381991,546307.868799315,0.160093478295828,FALSE,TRUE,"ORU"
"17","14173","ZCTA5 14173","S1901_C01_012",NA,NA,14173,FALSE,1494412.73305618,1486949.43222756,0.995005863732596,FALSE,FALSE,"ORU"
"18","14539","ZCTA5 14539","S1901_C01_012",54318,49915,14539,FALSE,554718.33794744,554718.337947795,1.00000000000064,FALSE,FALSE,"ORU"
"19","13325","ZCTA5 13325","S1901_C01_012",53250,9239,13325,FALSE,200066045.114218,200066045.114011,0.999999999998967,FALSE,FALSE,"ORU"
"20","13677","ZCTA5 13677","S1901_C01_012",NA,NA,13677,FALSE,599502.718814199,599502.718814334,1.00000000000023,FALSE,FALSE,"ORU"
"21","13368","ZCTA5 13368","S1901_C01_012",46765,5664,13368,FALSE,120589677.166887,120589677.165463,0.999999999988185,FALSE,FALSE,"ORU"
"22","14727","ZCTA5 14727","S1901_C01_012",49481,4342,14727,FALSE,283213382.606083,283213383.062339,1.000000001611,FALSE,TRUE,"ORU"
"23","13210","ZCTA5 13210","S1901_C01_012",29100,3627,13210,FALSE,11817925.925818,11817925.9258233,1.00000000000045,TRUE,TRUE,"ORU"
"24","12997","ZCTA5 12997","S1901_C01_012",60547,11607,12997,FALSE,168947937.901093,168947937.590588,0.999999998162129,FALSE,FALSE,"ORU"
"25","10976","ZCTA5 10976","S1901_C01_012",63875,40239,10976,TRUE,2961387.21787392,2961387.21787456,1.00000000000022,FALSE,FALSE,"ORU"
"26","13675","ZCTA5 13675","S1901_C01_012",64605,45033,13675,FALSE,3158376.56026604,3158376.56026675,1.00000000000022,FALSE,FALSE,"ORU"
"27","12983","ZCTA5 12983","S1901_C01_012",54478,4109,12983,FALSE,597510581.842636,597510581.907851,1.00000000010914,FALSE,FALSE,"ORU"
"28","14475","ZCTA5 14475","S1901_C01_012",49750,34992,14475,FALSE,3915783.02889268,3915782.99439026,0.999999991188882,FALSE,FALSE,"ORU"
"29","13367","ZCTA5 13367","S1901_C01_012",53689,3560,13367,FALSE,1217696529.63362,1217696528.01622,0.999999998671753,FALSE,FALSE,"ORU"
"30","14619","ZCTA5 14619","S1901_C01_012",37801,3415,14619,FALSE,3768455.88896794,3768455.88895816,0.999999999997406,TRUE,TRUE,"ORU"
