"","GEOID","NAME","variable","estimate","moe","geoid_int","sf_tag","area","intersection_area","coverage","pre_screened","dac","Utility"
"1","13064","ZCTA5 13064","S1901_C01_012",NA,NA,13064,FALSE,3412430.50381991,546307.868799315,0.160093478295828,FALSE,TRUE,"RGE"
"2","14727","ZCTA5 14727","S1901_C01_012",49481,4342,14727,FALSE,283213382.606083,85001360.8887322,0.300131865615119,FALSE,TRUE,"RGE"
"3","14619","ZCTA5 14619","S1901_C01_012",37801,3415,14619,FALSE,3768455.88896794,3768455.88895816,0.999999999997406,TRUE,TRUE,"RGE"
"4","14542","ZCTA5 14542","S1901_C01_012",NA,NA,14542,FALSE,4787009.99182918,4787009.99182937,1.00000000000004,FALSE,TRUE,"RGE"
"5","14586","ZCTA5 14586","S1901_C01_012",81792,9598,14586,FALSE,29283886.499795,25848238.3481625,0.882677862733262,FALSE,TRUE,"RGE"
"6","14424","ZCTA5 14424","S1901_C01_012",62717,3904,14424,FALSE,329267440.56812,279640986.315388,0.849282230374475,FALSE,TRUE,"RGE"
"7","13113","ZCTA5 13113","S1901_C01_012",85938,19512,13113,FALSE,1337687.71406311,1337687.71406265,0.999999999999656,FALSE,FALSE,"RGE"
"8","14721","ZCTA5 14721","S1901_C01_012",47500,22342,14721,FALSE,9616407.45698094,9609538.73915805,0.999285729327338,FALSE,FALSE,"RGE"
"9","14774","ZCTA5 14774","S1901_C01_012",65417,48613,14774,FALSE,449893.968352141,449893.968352127,0.99999999999997,FALSE,FALSE,"RGE"
"10","14627","ZCTA5 14627","S1901_C01_012",NA,NA,14627,FALSE,396891.691087676,396891.69108688,0.999999999997994,FALSE,TRUE,"RGE"
"11","14580","ZCTA5 14580","S1901_C01_012",80596,3269,14580,FALSE,113617137.975704,112909941.551584,0.993775618390678,FALSE,FALSE,"RGE"
"12","13166","ZCTA5 13166","S1901_C01_012",62774,4853,13166,FALSE,107562407.227161,48787905.3519813,0.453577663513479,FALSE,TRUE,"RGE"
"13","14514","ZCTA5 14514","S1901_C01_012",64112,6178,14514,FALSE,9727894.78167979,9727894.781712,1.00000000000331,FALSE,TRUE,"RGE"
"14","14714","ZCTA5 14714","S1901_C01_012",56250,17085,14714,FALSE,47202542.1386497,2541042.82288799,0.0538327536560233,FALSE,FALSE,"RGE"
"15","14744","ZCTA5 14744","S1901_C01_012",56719,13507,14744,FALSE,45499742.5860361,37130722.273828,0.81606444703763,FALSE,FALSE,"RGE"
"16","14615","ZCTA5 14615","S1901_C01_012",39995,2748,14615,FALSE,15085588.3663839,15085588.3664325,1.00000000000322,TRUE,TRUE,"RGE"
"17","14130","ZCTA5 14130","S1901_C01_012",45500,16184,14130,FALSE,2822609.33285721,2822609.33284857,0.999999999996938,FALSE,FALSE,"RGE"
"18","14614","ZCTA5 14614","S1901_C01_012",80208,34008,14614,FALSE,726508.16567569,726508.165676449,1.00000000000105,TRUE,TRUE,"RGE"
"19","14506","ZCTA5 14506","S1901_C01_012",133167,22261,14506,FALSE,7466769.67014592,7466769.67014506,0.999999999999885,FALSE,FALSE,"RGE"
"20","14618","ZCTA5 14618","S1901_C01_012",98254,5604,14618,FALSE,25152814.150265,25152814.1502659,1.00000000000004,FALSE,TRUE,"RGE"
"21","14609","ZCTA5 14609","S1901_C01_012",46117,2924,14609,FALSE,20879547.3729405,20879547.3729315,0.999999999999565,TRUE,TRUE,"RGE"
"22","14626","ZCTA5 14626","S1901_C01_012",62550,3219,14626,FALSE,35389618.8082289,35389618.8082328,1.00000000000011,FALSE,TRUE,"RGE"
"23","13111","ZCTA5 13111","S1901_C01_012",40924,10599,13111,FALSE,68996980.6495421,57904422.8617755,0.839231257899396,FALSE,FALSE,"RGE"
"24","14620","ZCTA5 14620","S1901_C01_012",44167,4524,14620,FALSE,11835305.575489,11835305.5755019,1.00000000000108,TRUE,TRUE,"RGE"
"25","14066","ZCTA5 14066","S1901_C01_012",56850,4969,14066,FALSE,104901396.972706,33006476.3807536,0.314642867809867,FALSE,FALSE,"RGE"
"26","14510","ZCTA5 14510","S1901_C01_012",48272,4310,14510,FALSE,181054356.537218,87049312.6225263,0.480791041361285,FALSE,TRUE,"RGE"
"27","14613","ZCTA5 14613","S1901_C01_012",35259,3620,14613,FALSE,4834707.29540754,4834707.2954098,1.00000000000047,TRUE,TRUE,"RGE"
"28","14559","ZCTA5 14559","S1901_C01_012",80735,6537,14559,FALSE,110602908.845618,103976499.439672,0.940088289945476,FALSE,TRUE,"RGE"
"29","14504","ZCTA5 14504","S1901_C01_012",56279,5115,14504,FALSE,2908137.93162215,2908137.93162479,1.00000000000091,FALSE,TRUE,"RGE"
"30","13033","ZCTA5 13033","S1901_C01_012",66887,5356,13033,FALSE,160727565.535802,160697276.749186,0.999811552010291,FALSE,TRUE,"RGE"
"31","14546","ZCTA5 14546","S1901_C01_012",67569,15224,14546,FALSE,89150292.1782781,35230161.7514809,0.395177187765459,FALSE,TRUE,"RGE"
"32","14590","ZCTA5 14590","S1901_C01_012",48327,3626,14590,FALSE,177579698.225316,176923147.661656,0.996302783650268,FALSE,TRUE,"RGE"
"33","14624","ZCTA5 14624","S1901_C01_012",69257,3567,14624,FALSE,72576358.0359461,72576358.0359494,1.00000000000005,TRUE,TRUE,"RGE"
"34","14517","ZCTA5 14517","S1901_C01_012",49395,7926,14517,FALSE,88189325.7854432,68589067.0756092,0.777747946984881,FALSE,FALSE,"RGE"
"35","14548","ZCTA5 14548","S1901_C01_012",62557,11200,14548,FALSE,77861049.6068596,76237825.4450639,0.979152295403263,FALSE,TRUE,"RGE"
"36","14608","ZCTA5 14608","S1901_C01_012",21531,1941,14608,FALSE,4717537.94975237,4717537.94975673,1.00000000000092,TRUE,TRUE,"RGE"
"37","14612","ZCTA5 14612","S1901_C01_012",61218,3794,14612,FALSE,48031010.7727915,47138771.3554404,0.981423680180878,TRUE,TRUE,"RGE"
"38","13140","ZCTA5 13140","S1901_C01_012",54744,4421,13140,FALSE,139384115.14715,56103852.6618625,0.402512528795931,FALSE,TRUE,"RGE"
"39","14735","ZCTA5 14735","S1901_C01_012",39278,3257,14735,FALSE,216114933.925746,200514906.608325,0.927816060491308,FALSE,FALSE,"RGE"
"40","14709","ZCTA5 14709","S1901_C01_012",49145,5559,14709,FALSE,130764014.46299,95750668.4971268,0.732240203012637,FALSE,TRUE,"RGE"
"41","14489","ZCTA5 14489","S1901_C01_012",52285,4149,14489,FALSE,175980227.793994,13010269.882215,0.0739302934500406,FALSE,TRUE,"RGE"
