ZIP,Utility,zip_flag,pre_screen_flag,dac_flag
11550,ORU,FALSE,FALSE,FALSE
10171,ORU,FALSE,FALSE,FALSE
10110,ORU,FALSE,FALSE,FALSE
12758,ORU,FALSE,FALSE,FALSE
10282,ORU,FALSE,FALSE,FALSE
14212,ORU,FALSE,FALSE,FALSE
11956,ORU,FALSE,FALSE,FALSE
14788,ORU,FALSE,FALSE,FALSE
10040,ORU,FALSE,FALSE,FALSE
11501,ORU,FALSE,FALSE,FALSE
14035,ORU,FALSE,FALSE,FALSE
13617,ORU,FALSE,FALSE,FALSE
13316,ORU,FALSE,FALSE,FALSE
13102,ORU,FALSE,FALSE,FALSE
12307,ORU,FALSE,FALSE,FALSE
10605,ORU,FALSE,FALSE,FALSE
11207,ORU,FALSE,FALSE,FALSE
10456,ORU,FALSE,FALSE,FALSE
13343,ORU,FALSE,FALSE,FALSE
14456,ORU,FALSE,FALSE,FALSE
11417,ORU,FALSE,FALSE,FALSE
13440,ORU,FALSE,FALSE,FALSE
13856,ORU,FALSE,FALSE,FALSE
11104,ORU,FALSE,FALSE,FALSE
10024,ORU,FALSE,FALSE,FALSE
12456,ORU,FALSE,FALSE,FALSE
10535,ORU,FALSE,FALSE,FALSE
11212,ORU,FALSE,FALSE,FALSE
11694,ORU,FALSE,FALSE,FALSE
11415,ORU,FALSE,FALSE,FALSE
11209,ORU,FALSE,FALSE,FALSE
10703,ORU,FALSE,FALSE,FALSE
11360,ORU,FALSE,FALSE,FALSE
14854,ORU,FALSE,FALSE,FALSE
13064,ORU,FALSE,FALSE,FALSE
11451,ORU,FALSE,FALSE,FALSE
10026,ORU,FALSE,FALSE,FALSE
14173,ORU,FALSE,FALSE,FALSE
14539,ORU,FALSE,FALSE,FALSE
11373,ORU,FALSE,FALSE,FALSE
10162,ORU,FALSE,FALSE,FALSE
11947,ORU,FALSE,FALSE,FALSE
13325,ORU,FALSE,FALSE,FALSE
10503,ORU,FALSE,FALSE,FALSE
11096,ORU,FALSE,FALSE,FALSE
11355,ORU,FALSE,FALSE,FALSE
13677,ORU,FALSE,FALSE,FALSE
10168,ORU,FALSE,FALSE,FALSE
11235,ORU,FALSE,FALSE,FALSE
10459,ORU,FALSE,FALSE,FALSE
11425,ORU,FALSE,FALSE,FALSE
10170,ORU,FALSE,FALSE,FALSE
10032,ORU,FALSE,FALSE,FALSE
13368,ORU,FALSE,FALSE,FALSE
10152,ORU,FALSE,FALSE,FALSE
11575,ORU,FALSE,FALSE,FALSE
11005,ORU,FALSE,FALSE,FALSE
14727,ORU,FALSE,FALSE,FALSE
11429,ORU,FALSE,FALSE,FALSE
11223,ORU,FALSE,FALSE,FALSE
10020,ORU,FALSE,FALSE,FALSE
11103,ORU,FALSE,FALSE,FALSE
11412,ORU,FALSE,FALSE,FALSE
13210,ORU,FALSE,FALSE,FALSE
12997,ORU,FALSE,FALSE,FALSE
10976,ORU,TRUE,FALSE,FALSE
13675,ORU,FALSE,FALSE,FALSE
10018,ORU,FALSE,FALSE,FALSE
11554,ORU,FALSE,FALSE,FALSE
10153,ORU,FALSE,FALSE,FALSE
12983,ORU,FALSE,FALSE,FALSE
10030,ORU,FALSE,FALSE,FALSE
10044,ORU,FALSE,FALSE,FALSE
11752,ORU,FALSE,FALSE,FALSE
14475,ORU,FALSE,FALSE,FALSE
13367,ORU,FALSE,FALSE,FALSE
14619,ORU,FALSE,FALSE,FALSE
12089,ORU,FALSE,FALSE,FALSE
10165,ORU,FALSE,FALSE,FALSE
10128,ORU,FALSE,FALSE,FALSE
11702,ORU,FALSE,FALSE,FALSE
10271,ORU,FALSE,FALSE,FALSE
12585,ORU,FALSE,FALSE,FALSE
11507,ORU,FALSE,FALSE,FALSE
10111,ORU,FALSE,FALSE,FALSE
10505,ORU,FALSE,FALSE,FALSE
13845,ORU,FALSE,FALSE,FALSE
10993,ORU,TRUE,FALSE,TRUE
11416,ORU,FALSE,FALSE,FALSE
11219,ORU,FALSE,FALSE,FALSE
14169,ORU,FALSE,FALSE,FALSE
10553,ORU,FALSE,FALSE,FALSE
13640,ORU,FALSE,FALSE,FALSE
10029,ORU,FALSE,FALSE,FALSE
10280,ORU,FALSE,FALSE,FALSE
10112,ORU,FALSE,FALSE,FALSE
14527,ORU,FALSE,FALSE,FALSE
14537,ORU,FALSE,FALSE,FALSE
14542,ORU,FALSE,FALSE,FALSE
14586,ORU,FALSE,FALSE,FALSE
14592,ORU,FALSE,FALSE,FALSE
12866,ORU,FALSE,FALSE,FALSE
11709,ORU,FALSE,FALSE,FALSE
11721,ORU,FALSE,FALSE,FALSE
11220,ORU,FALSE,FALSE,FALSE
12885,ORU,FALSE,FALSE,FALSE
12887,ORU,FALSE,FALSE,FALSE
12911,ORU,FALSE,FALSE,FALSE
11509,ORU,FALSE,FALSE,FALSE
11549,ORU,FALSE,FALSE,FALSE
