GEOID,snap_hh,medicaid_pop,total_pop,median_fam_income,income_below_pov,percent_renter
17001000100,264,1010,4761,59688,247,0.16212534059945505
17001000201,98,386,1985,56364,256,0.16760404949381327
17001000202,66,324,2376,60288,299,0.2536082474226804
17001000400,458,1467,3422,38077,541,0.41413373860182373
17001000500,152,572,2175,56354,253,0.3972939729397294
17001000600,202,696,4055,76975,339,0.43347131874630396
17001000700,257,440,1140,36094,330,0.9118065433854907
17001000800,488,1231,2583,30179,688,0.5588499550763701
17001000900,224,647,2846,52381,585,0.4357446808510638
17001001001,250,832,3478,68269,327,0.20556309362279512
17001001002,71,405,3281,70688,135,0.2857142857142857
17001001100,365,1777,8241,78177,482,0.3541781959048146
17001010100,131,632,4242,69209,289,0.18844069837447322
17001010200,175,665,3325,61058,326,0.19155134741442098
17001010300,181,978,5752,65893,523,0.16617790811339198
17001010400,15,394,3695,81447,208,0.05447761194029851
17001010500,10,187,2835,89469,114,0.19209486166007905
17001010600,190,1159,5893,90391,632,0.14734411085450347
17003957600,106,800,2105,48971,489,0.23435225618631733
17003957700,103,456,1780,51857,121,0.24314442413162707
17003957800,111,690,1392,32102,133,0.1670235546038544
17003957900,113,431,983,32500,37,0.4282560706401766
17005951200,89,363,2840,76667,305,0.12636505460218408
17005951300,358,1490,6511,59408,760,0.46062992125984253
17005951400,107,383,3037,82792,132,0.13015873015873017
17005951500,145,662,4201,83526,507,0.15014492753623188
17007010100,651,2301,7527,50324,634,0.435647143890094
17007010200,372,1747,6194,48323,434,0.3299398426654327
17007010300,434,2115,6700,67222,603,0.23502495840266224
17007010400,234,1058,6734,79579,221,0.08577586206896552
17007010500,113,660,10478,118250,206,0.0533891651400157
17007010601,200,765,3829,82772,217,0.1612184249628529
17007010602,509,1494,12075,91596,627,0.1135091926458833
17009970400,51,281,2402,91042,207,0.18696883852691218
17009970500,190,614,4226,75739,315,0.321285140562249
17011964700,119,492,2809,82647,185,0.1884681583476764
17011964800,134,625,3403,73555,565,0.18612244897959185
17011964900,121,501,2467,66406,310,0.2670250896057348
17011965000,260,903,3960,70163,248,0.24821683309557774
17011965100,175,681,3871,66397,325,0.25301204819277107
17011965200,270,916,3423,65366,357,0.3276912660798917
17011965300,129,671,3299,72679,573,0.2606498194945848
17011965400,156,404,3494,76231,255,0.23035392921415718
17011965500,138,726,3557,69519,358,0.17617689015691868
17011965600,122,529,2839,64896,246,0.1788685524126456
17013951200,135,709,2651,72702,397,0.166073546856465
17013951300,58,260,2179,96012,128,0.0876979293544458
17015960100,166,605,3254,67429,297,0.20419985517740769
17015960200,35,191,2146,69005,148,0.16666666666666666
17015960300,259,678,3028,54569,397,0.3093887838689351
17015960400,61,304,1979,69766,158,0.20503597122302158
17015960500,77,397,2536,72054,166,0.26153846153846155
17015960600,76,303,1523,73214,137,0.2036727879799666
17017960100,124,482,2246,62446,137,0.20609884332281808
17017960200,55,342,2469,82143,160,0.20038167938931298
17017960300,96,428,2587,63974,59,0.1875598086124402
17017960400,220,795,2590,50707,413,0.3202676864244742
17017960500,178,813,2601,45000,287,0.36096537250786986
17019000200,258,787,1871,26904,95,0.6105563480741797
17019000301,48,190,5260,NA,2405,1
17019000302,31,80,2699,NA,707,1
17019000401,6,41,5138,NA,861,1
17019000402,61,119,4237,16618,2141,1
17019000500,142,721,3797,85417,289,0.633901705115346
17019000700,269,1136,3241,42072,265,0.4555052790346908
17019000800,327,1618,6166,56957,261,0.7001059696220416
17019000901,440,1713,5104,35948,259,0.6670071501532175
17019000902,203,848,6797,86357,518,0.4440961337513062
17019001000,491,1040,4442,76791,141,0.4434060228452752
17019001100,49,444,3647,104333,100,0.2628434886499403
17019001201,401,1719,6826,47578,719,0.5471433578689099
17019001203,176,829,4891,87656,99,0.2517985611510791
17019001204,46,207,4043,134688,28,0.21347464042392128
17019001205,280,650,7405,135481,192,0.34943083822007587
17019001206,28,99,2053,120179,46,0.12104072398190045
17019001301,82,563,6328,98446,367,0.35796269727403157
17019001302,94,203,4470,126500,186,0.2769156159068865
17019001400,168,438,6835,113714,435,0.5584028605482717
17019005300,350,1151,5556,39391,698,0.8332647179909428
17019005401,410,1306,4391,46775,519,0.6563296516567545
17019005402,194,1082,3572,64702,452,0.2145130490133673
17019005500,322,939,4825,70050,314,0.32746641963872164
17019005600,345,897,7104,79811,388,0.45827943078913325
17019005701,375,971,5045,71360,368,0.46969054684188216
17019005702,51,385,3555,122361,245,0.570414201183432
17019005800,56,128,3890,131000,611,0.4706994328922495
17019005900,7,153,6054,NA,873,0.9434129089301503
17019006000,26,178,3551,24702,170,0.987688098495212
17019010100,653,1543,5151,46509,617,0.555767397521449
17019010204,356,1244,4673,57824,306,0.3346986541837332
17019010300,223,1191,3420,37393,366,0.721824686940966
17019010400,154,675,4637,83315,298,0.21602972399150744
17019010500,103,562,4473,91354,182,0.12462908011869436
