ZIP_CODE,Load Zone,Utility
11729,LIPA in Zone K,Long Island Power Authority
11731,LIPA in Zone K,Long Island Power Authority
11736,LIPA in Zone K,Long Island Power Authority
11738,LIPA in Zone K,Long Island Power Authority
11739,LIPA in Zone K,Long Island Power Authority
11764,LIPA in Zone K,Long Island Power Authority
11766,LIPA in Zone K,Long Island Power Authority
14522,NYSEG in Zone C,New York State Electric & Gas Corporation
14819,NYSEG in Zone C,New York State Electric & Gas Corporation
14830,NYSEG in Zone C,New York State Electric & Gas Corporation
14836,NYSEG in Zone C,New York State Electric & Gas Corporation
14841,NYSEG in Zone C,New York State Electric & Gas Corporation
14851,NYSEG in Zone C,New York State Electric & Gas Corporation
14852,NYSEG in Zone C,New York State Electric & Gas Corporation
14854,NYSEG in Zone C,New York State Electric & Gas Corporation
14856,NYSEG in Zone C,New York State Electric & Gas Corporation
14864,NYSEG in Zone C,New York State Electric & Gas Corporation
14872,NYSEG in Zone C,New York State Electric & Gas Corporation
14874,NYSEG in Zone C,New York State Electric & Gas Corporation
14880,NYSEG in Zone C,New York State Electric & Gas Corporation
14886,NYSEG in Zone C,New York State Electric & Gas Corporation
14892,NYSEG in Zone C,New York State Electric & Gas Corporation
14897,NYSEG in Zone C,New York State Electric & Gas Corporation
14904,NYSEG in Zone C,New York State Electric & Gas Corporation
14532,NYSEG in Zone C,New York State Electric & Gas Corporation
14561,NYSEG in Zone C,New York State Electric & Gas Corporation
14709,NYSEG in Zone C,New York State Electric & Gas Corporation
13760,NYSEG in Zone C,New York State Electric & Gas Corporation
13827,NYSEG in Zone C,New York State Electric & Gas Corporation
13851,NYSEG in Zone C,New York State Electric & Gas Corporation
13864,NYSEG in Zone C,New York State Electric & Gas Corporation
12847,NYSEG in Zone D,New York State Electric & Gas Corporation
12903,NYSEG in Zone D,New York State Electric & Gas Corporation
12911,NYSEG in Zone D,New York State Electric & Gas Corporation
12921,NYSEG in Zone D,New York State Electric & Gas Corporation
12959,NYSEG in Zone D,New York State Electric & Gas Corporation
