,GEOID,NAME,variable,estimate,moe,geoid_int,sf_tag,area,coverage,dac_coverage,pre_screened_coverage
0,11550,ZCTA5 11550,S1901_C01_012,64097.0,4057.0,11550,0,11004445.898358017,,,
1,10171,ZCTA5 10171,S1901_C01_012,,,10171,0,12455.08424973114,,,
2,10110,ZCTA5 10110,S1901_C01_012,,,10110,0,26677.99024652058,,,
3,12758,ZCTA5 12758,S1901_C01_012,60368.0,8693.0,12758,0,397703044.3182898,0.9828706379785865,0.04096665144034232,
4,10282,ZCTA5 10282,S1901_C01_012,250001.0,,10282,0,201329.25880077624,,,
5,14212,ZCTA5 14212,S1901_C01_012,24060.0,3810.0,14212,0,4918492.273907839,0.27215246563530077,0.7276653835571161,0.4249184542816816
6,11956,ZCTA5 11956,S1901_C01_012,64917.0,4678.0,11956,0,3471731.241154286,,,
7,14788,ZCTA5 14788,S1901_C01_012,,,14788,0,555362.7793416537,,,
8,10040,ZCTA5 10040,S1901_C01_012,47137.0,2918.0,10040,0,948834.2231520654,,,
9,11501,ZCTA5 11501,S1901_C01_012,96079.0,5239.0,11501,0,5338018.474069007,,,
10,14035,ZCTA5 14035,S1901_C01_012,,,14035,0,556986.7218261893,,,
11,13617,ZCTA5 13617,S1901_C01_012,60016.0,8463.0,13617,0,332799741.2191413,,,
12,13316,ZCTA5 13316,S1901_C01_012,47193.0,5792.0,13316,0,420175909.7682371,,,
13,13102,ZCTA5 13102,S1901_C01_012,,,13102,0,152475.58888113144,0.9999999999999996,,
14,12307,ZCTA5 12307,S1901_C01_012,21719.0,4515.0,12307,0,1852353.2564759061,,,
15,10605,ZCTA5 10605,S1901_C01_012,111399.0,9561.0,10605,0,13152407.815164082,,,
16,11207,ZCTA5 11207,S1901_C01_012,37243.0,1913.0,11207,0,6971398.695564266,,,
17,10456,ZCTA5 10456,S1901_C01_012,27106.0,1336.0,10456,0,2608523.88627614,,,
18,13343,ZCTA5 13343,S1901_C01_012,59167.0,6735.0,13343,0,147737075.1264058,,,
19,14456,ZCTA5 14456,S1901_C01_012,47522.0,3224.0,14456,0,202248720.20728338,1.000000000000001,0.020647157689560162,
20,11417,ZCTA5 11417,S1901_C01_012,73424.0,4228.0,11417,0,2908867.8026989535,,,
21,13440,ZCTA5 13440,S1901_C01_012,53067.0,2569.0,13440,0,295505965.80434185,,,
22,13856,ZCTA5 13856,S1901_C01_012,50764.0,6147.0,13856,0,490702068.79984707,0.999999999999999,0.0015665875453334426,
23,11104,ZCTA5 11104,S1901_C01_012,61269.0,5621.0,11104,0,998413.8003407328,,,
24,10024,ZCTA5 10024,S1901_C01_012,131668.0,7780.0,10024,0,2193090.34517406,,,
25,12456,ZCTA5 12456,S1901_C01_012,58611.0,14386.0,12456,0,1454083.0605719378,,,
26,10535,ZCTA5 10535,S1901_C01_012,,,10535,0,1407719.1349947748,1.0000000000000002,,
27,11212,ZCTA5 11212,S1901_C01_012,26239.0,1564.0,11212,0,3973647.030838038,,,
28,11694,ZCTA5 11694,S1901_C01_012,80976.0,6821.0,11694,0,3492252.772630032,,,
29,11415,ZCTA5 11415,S1901_C01_012,68294.0,3675.0,11415,0,1435600.7564509888,,,
30,11209,ZCTA5 11209,S1901_C01_012,72314.0,2583.0,11209,0,5604154.92553688,,,
31,10703,ZCTA5 10703,S1901_C01_012,64456.0,8059.0,10703,0,4551052.194036858,,,
