"Installation Name","Program Name","Installation type","Year Energized",GeoCode,Address,City,State,Zip,"Project Status","Utility Name","Project Developer or Owner","Project Capacity KW-AC","System Size Category","LMI Share of Capacity","LMI Project Capacity KW-AC","LMI Requirement","Utility Type","Regulatory Structure","Energy Rate Average","Energy Rate Category","Community Solar Bill Credit Value","Community Solar Enabling Legislation","Value of State Level RECs & Subsidies","Eligible for Tax Benefits","LMI Customer Savings (category)","LMI Customer Savings %","Minimum LMI Savings Mandated","Potential # LMI Subscribers"
"1 County Rd","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.06809332617492,40.76390162715151","1 County Road",Secaucus,"New Jersey",07094,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",1731,"500 KW to 1,999 KW",51,883,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,353
"1 Wiley Drive Sun Garden","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.54068069608272,40.5334948855883","1 Wiley Drive",Somerset,"New Jersey",08873,Planned,"Public Service Electric and Gas (PSE&G)","Altus Power America Inc.",2260,"More than 2 MW",51,1153,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,461
"100 Middlesex Center Sun Garden","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.45422284153028,40.382629536125464","100 Middlesex
Center Blvd"," South Brunswick","New Jersey",08831,Planned,"Jersey Central Power and Light (JCP&L)","Altus Power America Inc.",2260,"More than 2 MW",51,1153,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,461
"100 Performance Sun Garden","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.16023587588184,41.107762299191336","100 Performance
Drive",Mahwah,"New Jersey",07430,Planned,"Rockland Electric Company","Altus Power America Inc.",2259,"More than 2 MW",51,1152,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,461
"116 Gaither Dr","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.94775476702182,39.93725672153959","116 Gaither Drive","Mount Laurel","New Jersey",08054,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",846,"500 KW to 1,999 KW",51,432,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,173
"1221 Van Buren St NW Apartments",SharePower,Roof,2020,"-77.02788500022683,38.97024403670481","1221 Van Buren St NW",Washington,"District of Columbia",20012,Operational,"Potomac Electric Power Company (Pepco) DC","New Columbia Solar",22,"Less than 500 KW",100,22,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,9
"1234 NJ Route
46","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.18752765177653,40.87129192271058","1234 NJ Route
46",Clifton,"New Jersey",07013,Planned,"Public Service Electric and Gas (PSE&G)","Solar Landscape",210,"Less than 500 KW",51,107,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,43
"1240 Cranbury Sun Garden","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.48630356056864,40.331145576698006","1240 Cranbury South River Road",Cranbury,"New Jersey",08512,Planned,"Public Service Electric and Gas (PSE&G)","Altus Power America Inc.",3846,"More than 2 MW",51,1962,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,785
"1245 AIRPORT ROAD","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.17803957222492,40.05576122761989","1245 Airport Rd.",Lakewood,"New Jersey",08701,Planned,"Jersey Central Power and Light (JCP&L)","Lexington
Holdings, LLC",1209,"500 KW to 1,999 KW",51,616,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,247
"1247 N Church Street","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.9810697759229,39.976801271652654","1247 N Church Street",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Brightcore Energy LLC",308,"Less than 500 KW",51,157,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,63
