GEOID,snap_hh,medicaid_pop,total_pop
35001000107,68,296,2448
35001000108,111,480,2930
35001000109,110,431,2443
35001000110,256,1175,3884
35001000111,8,419,3042
35001000112,24,218,2011
35001000113,232,934,3463
35001000114,200,915,3173
35001000115,359,1220,3329
35001000116,26,443,2890
35001000117,104,495,2514
35001000118,67,454,2373
35001000119,38,336,1809
35001000120,151,937,2998
35001000121,423,1457,5712
35001000122,161,783,4448
35001000123,176,1293,4290
35001000124,425,1300,3971
35001000125,23,320,3925
35001000126,73,397,2480
35001000127,135,695,2754
35001000128,264,1525,3844
35001000129,351,1313,3940
35001000203,198,654,1916
35001000204,166,763,3214
35001000205,241,1005,3398
35001000206,83,898,2929
35001000207,211,783,2741
35001000208,218,991,2787
35001000300,172,987,6230
35001000401,252,755,4193
35001000402,88,415,3476
35001000501,418,1316,3158
35001000502,332,979,4612
35001000601,295,873,3982
35001000603,781,2403,4469
35001000604,565,1887,4180
35001000704,150,922,3368
35001000707,605,2736,6774
35001000708,783,2693,6415
35001000710,58,668,7213
35001000711,222,1132,4824
35001000712,418,1669,4107
35001000713,655,2414,5610
35001000714,279,1398,5201
35001000801,76,158,3963
35001000901,1435,4891,7168
35001000903,1415,3266,5659
35001000904,437,2155,4355
35001001101,219,936,4713
35001001102,281,1284,3094
35001001200,649,2934,7108
35001001300,490,2127,4236
35001001400,415,1322,2641
35001001500,264,670,2097
35001001600,276,669,2456
35001001700,252,1000,4578
35001001800,29,329,2010
35001001900,38,132,1036
35001002000,242,967,2094
35001002100,274,690,1422
35001002200,338,689,2949
35001002300,902,4004,8941
35001002401,355,1805,4851
35001002402,941,3709,7751
35001002500,381,1251,2796
35001002600,77,303,1057
35001002700,399,1400,4085
35001002900,290,1381,4314
35001003001,586,1973,5227
35001003002,323,1376,4261
35001003100,61,258,2564
35001003201,199,1070,2603
35001003202,478,1852,4950
35001003400,646,2128,4521
35001003501,340,1992,6043
35001003502,148,718,5239
35001003600,283,1472,7562
35001003707,576,1167,4665
35001003712,91,513,4812
35001003714,362,2088,7238
35001003715,30,234,3741
35001003717,247,1096,5264
35001003718,37,450,2557
35001003719,247,1091,5546
35001003721,69,327,6967
35001003722,136,1088,6658
35001003723,226,1190,5770
35001003724,55,749,3161
35001003725,214,599,4154
35001003726,9,104,2415
35001003728,121,870,4244
35001003729,13,214,2070
35001003730,8,298,4428
35001003731,8,51,3957
35001003732,78,493,6938
35001003733,699,1943,3611
35001003735,215,1162,7007
35001003736,218,580,2365
35001003737,0,236,2745
35001003738,16,543,4740
35001003803,52,331,3502
35001003804,116,697,5873
35001003805,12,346,2492
35001003806,75,287,3438
35001003807,213,970,4767
35001004001,343,2123,5112
35001004300,714,2145,5321
35001004401,228,1335,3193
35001004402,299,1261,4080
35001004501,307,1783,3752
35001004502,556,1891,4163
35001004602,303,1551,4017
35001004603,186,1345,4037
35001004604,336,1596,5322
35001004712,351,1578,6895
35001004713,367,2800,6679
35001004715,516,2335,4673
35001004716,169,253,1919
35001004717,416,1860,7440
35001004720,113,766,3785
35001004722,191,982,5102
35001004723,47,817,6876
35001004724,65,399,3076
35001004725,83,497,4135
